Oyun Adı;Site Satış Fiyatı (TL);Site Alış Fiyatı (TL);Takas Farkı (TL)
A Plague Tale Innocence;1399;800;599
A Plague Tale Requiem;1499;900;599
Alan Wake 2;2299;1700;599
Alan Wake Remastered;1499;900;599
Aliens Fireteam Elite;1499;;
Aliens Fireteam Elite;;900;
Alone In The Dark;1499;900;599
Anno 1800 Console Edition;1499;900;599
ARK Survival Ascended;1499;900;599
Armored Core VI Fires Of Rubicon;1499;800;699
Asphalt Legends Unite;1499;1000;499
Assassins Creed Mirage;1199;700;499
Assassins Creed Shadows;2199;1500;699
Assassins Creed Valhalla;999;600;399
Assetto Corsa;1499;1000;499
Astro Bot;2699;2000;699
Atari 50 The Anniversary Celebration;2499;1500;999
Atomfall;1999;1500;499
Atomic Heart;1399;800;599
Avatar Frontiers Of Pandora;1499;1000;499
Avatar The Last Airbender Quest For Balance;1799;1200;599
Back 4 Blood;1499;900;599
Banishers Ghosts Of New Eden;1499;1000;499
Barbie Project Friendship;1499;1000;499
Battlefield 2042;1199;700;499
Battlefield 6;2299;1500;799
Black Myth Wukong Türkçe;2499;2000;499
Borderlands 4;1699;1000;699
Call Of Duty Black Ops 5 Cold War;1499;1000;499
Call Of Duty Black Ops 6;1999;1500;499
Call Of Duty Black Ops 7;2499;2000;499
Call of Duty Modern Warfare 2;1599;1100;499
Call of Duty Modern Warfare 3;1799;1300;499
Call Of Duty Vanguard;1799;1300;499
Chernobylite;1299;800;499
Civilization VII;1999;1400;599
Code Vein 2;2899;2000;899
Control Ultimate Edition;1399;800;599
Crash Team Rumble;1299;800;499
Crimson Desert;3299;2500;799
Cronos The New Dawn;2199;1600;599
Cyberpunk 2077 Ultimate Edition;1699;1200;499
Dead Island 2;1799;1300;499
Dead Rising Deluxe Remaster;1999;1500;499
Dead Space;1499;1000;499
Death Stranding 2 On The Beach;2799;2200;599
Death Stranding Director's Cut;999;600;399
Deathloop;1299;700;599
Demon Slayer The Hinokami Chronicles 2;2499;1800;699
Demon's Souls;1399;1000;399
Destruction Allstars;899;500;399
Devil May Cry 5;1399;800;599
Diablo IV;1999;1200;799
Dirt 5;1299;800;499
Doom The Dark Ages;2399;1800;599
